,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
970,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,1714.8029669993446,GravityBasedInstallation,,,,,,,,,
971,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,1714.8029669993446,GravityBasedInstallation,,,,,,,,,
982,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1734.8021978021984,GravityBasedInstallation,,,,3.0,0.0,,,,
983,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,1734.8021978021984,GravityBasedInstallation,,,,,,Site,,,
989,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,1739.8021978021984,GravityBasedInstallation,,,,,,,,,
991,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,1740.8021978021984,GravityBasedInstallation,,,,,,,,,
1002,,Multi-Purpose AHTS Vessel,Delay,55.0,245636.875,ACTION,1795.8021978021984,GravityBasedInstallation,,,,,,,,,
1008,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,1807.8021978021984,GravityBasedInstallation,,,,,,,,,
1011,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,1813.8021978021984,GravityBasedInstallation,,,,,,,,,
1012,,Towing Group 1,Positioning Support,79.0,123490.16666666667,ACTION,1813.8021978021984,GravityBasedInstallation,,,,1.0,,site,,,
1025,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,1832.263736263737,GravityBasedInstallation,,,,3.0,0.0,,,,
1026,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,280.92299999335705,0.0,ACTION,1832.263966996567,GravityBasedInstallation,,,,,,,,,
1027,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,1832.263966996567,GravityBasedInstallation,,,,,,,,,
1028,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,1832.263966996567,GravityBasedInstallation,,,,,,,,,
1037,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1852.263736263737,GravityBasedInstallation,,,,3.0,0.0,,,,
1038,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,1852.263736263737,GravityBasedInstallation,,,,,,Site,,,
1039,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,1857.263736263737,GravityBasedInstallation,,,,,,,,,
1040,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,1858.263736263737,GravityBasedInstallation,,,,,,,,,
1048,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,1870.263736263737,GravityBasedInstallation,,,,,,,,,
1052,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,1876.263736263737,GravityBasedInstallation,,,,,,,,,
1053,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,1876.263736263737,GravityBasedInstallation,,,,1.0,,site,,,
1066,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,1894.7252747252755,GravityBasedInstallation,,,,3.0,0.0,,,,
1067,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,179.92299999574539,0.0,ACTION,1894.72596699509,GravityBasedInstallation,,,,,,,,,
1068,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,1894.72596699509,GravityBasedInstallation,,,,,,,,,
1069,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,1894.72596699509,GravityBasedInstallation,,,,,,,,,
1081,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1914.7252747252755,GravityBasedInstallation,,,,3.0,0.0,,,,
1082,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,1914.7252747252755,GravityBasedInstallation,,,,,,Site,,,
1087,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,1919.7252747252755,GravityBasedInstallation,,,,,,,,,
1088,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,1920.7252747252755,GravityBasedInstallation,,,,,,,,,
1095,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,1932.7252747252755,GravityBasedInstallation,,,,,,,,,
1100,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,1938.7252747252755,GravityBasedInstallation,,,,,,,,,
1101,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,1938.7252747252755,GravityBasedInstallation,,,,1.0,,site,,,
1115,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,1957.186813186814,GravityBasedInstallation,,,,3.0,0.0,,,,
1116,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,124.92299999704596,0.0,ACTION,1957.186966993613,GravityBasedInstallation,,,,,,,,,
1117,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,1957.186966993613,GravityBasedInstallation,,,,,,,,,
1118,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,1957.186966993613,GravityBasedInstallation,,,,,,,,,
1125,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1977.186813186814,GravityBasedInstallation,,,,3.0,0.0,,,,
1126,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,1977.186813186814,GravityBasedInstallation,,,,,,Site,,,
1129,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,1982.186813186814,GravityBasedInstallation,,,,,,,,,
1131,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,1983.186813186814,GravityBasedInstallation,,,,,,,,,
1142,,Multi-Purpose AHTS Vessel,Delay,16.0,71458.0,ACTION,1999.186813186814,GravityBasedInstallation,,,,,,,,,
1158,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2011.186813186814,GravityBasedInstallation,,,,,,,,,
1161,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2017.186813186814,GravityBasedInstallation,,,,,,,,,
1162,,Towing Group 1,Positioning Support,40.0,62526.66666666667,ACTION,2017.186813186814,GravityBasedInstallation,,,,1.0,,site,,,
1172,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2035.6483516483527,GravityBasedInstallation,,,,3.0,0.0,,,,
1173,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,140.9229999966676,0.0,ACTION,2035.6489669917576,GravityBasedInstallation,,,,,,,,,
1174,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2035.6489669917576,GravityBasedInstallation,,,,,,,,,
1175,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,2035.6489669917576,GravityBasedInstallation,,,,,,,,,
1188,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2055.6483516483527,GravityBasedInstallation,,,,3.0,0.0,,,,
1189,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2055.6483516483527,GravityBasedInstallation,,,,,,Site,,,
1194,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2060.6483516483527,GravityBasedInstallation,,,,,,,,,
