,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1181,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,3389.846153846154,GravityBasedInstallation,,site,,,,,1.0,
1182,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,3408.3076923076924,GravityBasedInstallation,,,,,,,3.0,0.0
1186,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3428.3076923076924,GravityBasedInstallation,,,,,,,3.0,0.0
1187,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,3428.3076923076924,GravityBasedInstallation,,Site,,,,,,
1188,,Turbine Assembly Line 2,Delay,68.0,0.0,ACTION,3457.346153846154,GravityBasedInstallation,,,,,,,,
1189,,Turbine Assembly Line 1,Delay,68.0,0.0,ACTION,3457.769230769231,GravityBasedInstallation,,,,,,,,
1190,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3460.846153846154,GravityBasedInstallation,,,,,,,,
1191,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3461.269230769231,GravityBasedInstallation,,,,,,,,
1192,,Turbine Assembly Line 1,Delay,4.0,0.0,ACTION,3465.269230769231,GravityBasedInstallation,,,,,,,,
1193,,Turbine Assembly Line 2,Delay,5.0,0.0,ACTION,3465.846153846154,GravityBasedInstallation,,,,,,,,
1194,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3468.769230769231,GravityBasedInstallation,,,,,,,,
1195,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3469.346153846154,GravityBasedInstallation,,,,,,,,
1196,,Turbine Assembly Line 2,Delay,23.0,0.0,ACTION,3492.346153846154,GravityBasedInstallation,,,,,,,,
1197,,Turbine Assembly Line 1,Delay,24.0,0.0,ACTION,3492.769230769231,GravityBasedInstallation,,,,,,,,
1200,,Turbine Assembly Line 2,Mechanical Completion,24.0,0.0,ACTION,3516.346153846154,GravityBasedInstallation,,,,,,,,
1201,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,3516.769230769231,GravityBasedInstallation,,,,,,,,
1204,,Multi-Purpose AHTS Vessel,Delay,90.0,401951.25,ACTION,3518.3076923076924,GravityBasedInstallation,,,,,,,,
1205,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3523.3076923076924,GravityBasedInstallation,,,,,,,,
1207,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3524.3076923076924,GravityBasedInstallation,,,,,,,,
1209,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3536.3076923076924,GravityBasedInstallation,,,,,,,,
1211,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,3542.3076923076924,GravityBasedInstallation,,,,,,,,
1212,,Towing Group 1,Positioning Support,114.0,178201.0,ACTION,3542.3076923076924,GravityBasedInstallation,,site,,,,,1.0,
1217,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,3560.769230769231,GravityBasedInstallation,,,,,,,3.0,0.0
1221,,Turbine Assembly Line 2,Electrical Completion,72.0,0.0,ACTION,3588.346153846154,GravityBasedInstallation,,,,,,,,
1222,,Towing Group 1,Delay: No Completed Assemblies Available,27.576923076922867,129321.98076922979,ACTION,3588.346153846154,GravityBasedInstallation,,,,,,,3.0,
1223,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,242.5,0.0,ACTION,3588.346153846154,GravityBasedInstallation,,,,,,,,
1224,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,3588.346153846154,GravityBasedInstallation,,,,,,,,
1225,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,3588.769230769231,GravityBasedInstallation,,,,,,,,
1226,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,242.5,0.0,ACTION,3588.769230769231,GravityBasedInstallation,,,,,,,,
1227,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,3588.769230769231,GravityBasedInstallation,,,,,,,,
1228,,Turbine Assembly Line 2,Move Substructure,8.0,0.0,ACTION,3596.346153846154,GravityBasedInstallation,,,,,,,,
1229,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,3596.769230769231,GravityBasedInstallation,,,,,,,,
1230,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3608.346153846154,GravityBasedInstallation,,,,,,,3.0,0.0
1231,,Turbine Assembly Line 2,Prepare for Turbine Assembly,12.0,0.0,ACTION,3608.346153846154,GravityBasedInstallation,,,,,,,,
1232,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,66.03846153846143,294936.0240384611,ACTION,3608.346153846154,GravityBasedInstallation,,Site,,,,,,
