,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1495,,WTIV,Release Monopile,3.0,50000.0,ACTION,1899.2614716907751,MonopileInstallation,,,,,,,,
1496,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,1900.0778094872517,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1497,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,1900.0828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1500,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,1901.0828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1502,,WTIV,Drive Monopile,1.5,25000.0,ACTION,1902.5828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1504,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,1904.5828094872518,MonopileInstallation,,,,,,,,
1505,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,1905.5828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1506,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,1906.5828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1510,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,1910.5828094872518,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1511,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,1911.0161428205852,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1512,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,1913.0161428205852,MonopileInstallation,,,,,,,,
1514,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,1913.4494761539186,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1516,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,1914.4494761539186,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1519,,WTIV,Release Monopile,3.0,50000.0,ACTION,1917.4494761539186,MonopileInstallation,,,,,,,,
1520,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,1918.265813950395,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1521,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,1918.2708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1523,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,1919.2708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1525,,WTIV,Drive Monopile,1.5,25000.0,ACTION,1920.7708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1528,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,1922.7708139503952,MonopileInstallation,,,,,,,,
1530,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,1923.7708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1531,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,1924.7708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1536,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,1928.7708139503952,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1537,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,1929.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1545,,WTIV,Transit,12.0,200000.0,ACTION,1941.2041472837286,MonopileInstallation,,,,,,,,
1555,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,1953.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1562,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,1961.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1568,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,1973.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1572,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,1981.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1582,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,1993.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
