,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1185,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2050.7833333333338,TurbineInstallation,,,,,,,,,
1186,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2052.2833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1190,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2058.2833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1191,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2059.2833333333338,TurbineInstallation,,,,,,,,,
1193,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2060.2833333333338,TurbineInstallation,,,,,,,,,
1197,,WTIV,Lift Blade,1.5,25000.0,ACTION,2061.7833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1198,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2065.2833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1199,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2066.2833333333338,TurbineInstallation,,,,,,,,,
1200,,WTIV,Lift Blade,1.5,25000.0,ACTION,2067.7833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1201,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2071.2833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1202,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2072.2833333333338,TurbineInstallation,,,,,,,,,
1204,,WTIV,Lift Blade,1.5,25000.0,ACTION,2073.7833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1205,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2077.2833333333338,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1206,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2077.716666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1209,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2079.716666666667,TurbineInstallation,,,,,,,,,
1210,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2080.1500000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1211,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2083.1500000000005,TurbineInstallation,,,,,,,,,
1212,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,2083.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1214,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2089.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1216,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2092.9000000000005,TurbineInstallation,,,,,,,,,
1217,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,2094.4000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1223,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2100.4000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1225,,WTIV,Release Nacelle,3.0,50000.0,ACTION,2103.4000000000005,TurbineInstallation,,,,,,,,,
1227,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2104.4000000000005,TurbineInstallation,,,,,,,,,
1229,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2105.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1231,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2111.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1232,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2112.9000000000005,TurbineInstallation,,,,,,,,,
1233,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2113.9000000000005,TurbineInstallation,,,,,,,,,
1238,,WTIV,Delay,22.0,366666.6666666667,ACTION,2135.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1239,,WTIV,Lift Blade,1.5,25000.0,ACTION,2137.4000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1240,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2140.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1241,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2141.9000000000005,TurbineInstallation,,,,,,,,,
1244,,WTIV,Lift Blade,1.5,25000.0,ACTION,2143.4000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1250,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2146.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1251,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2147.9000000000005,TurbineInstallation,,,,,,,,,
1252,,WTIV,Lift Blade,1.5,25000.0,ACTION,2149.4000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1255,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2152.9000000000005,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1256,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2153.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1258,,WTIV,Transit,12.0,200000.0,ACTION,2165.333333333334,TurbineInstallation,,,,,,,,,
1261,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2169.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1262,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2173.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1265,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,2177.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1266,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2178.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1268,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2180.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1269,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2181.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1271,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2185.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1278,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2189.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1279,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,2193.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1281,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2195.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1282,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2196.833333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1283,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2198.333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1288,,WTIV,Transit,12.0,200000.0,ACTION,2210.333333333334,TurbineInstallation,,,,,,,,,
1289,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2212.333333333334,TurbineInstallation,,,,,,,,,
1291,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2212.7666666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1293,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2215.7666666666673,TurbineInstallation,,,,,,,,,
1294,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,2216.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1295,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2222.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1296,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2225.5166666666673,TurbineInstallation,,,,,,,,,
1298,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,2227.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1303,,WTIV,Delay,13.0,216666.6666666667,ACTION,2240.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1309,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2246.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1310,,WTIV,Release Nacelle,3.0,50000.0,ACTION,2249.0166666666673,TurbineInstallation,,,,,,,,,
1312,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2250.0166666666673,TurbineInstallation,,,,,,,,,
1313,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2251.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1316,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2257.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1318,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2258.5166666666673,TurbineInstallation,,,,,,,,,
1319,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2259.5166666666673,TurbineInstallation,,,,,,,,,
1321,,WTIV,Lift Blade,1.5,25000.0,ACTION,2261.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1328,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2264.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1329,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2265.5166666666673,TurbineInstallation,,,,,,,,,
1330,,WTIV,Lift Blade,1.5,25000.0,ACTION,2267.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1334,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2270.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1335,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2271.5166666666673,TurbineInstallation,,,,,,,,,
1336,,WTIV,Lift Blade,1.5,25000.0,ACTION,2273.0166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1338,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2276.5166666666673,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1339,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2276.9500000000007,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1340,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2278.9500000000007,TurbineInstallation,,,,,,,,,
1341,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2279.383333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1342,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2282.383333333334,TurbineInstallation,,,,,,,,,
1345,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,2283.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1354,,WTIV,Delay,52.0,866666.6666666667,ACTION,2335.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1355,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2341.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1357,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2344.133333333334,TurbineInstallation,,,,,,,,,
1360,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,2345.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1366,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2351.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1368,,WTIV,Release Nacelle,3.0,50000.0,ACTION,2354.633333333334,TurbineInstallation,,,,,,,,,
1369,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2355.633333333334,TurbineInstallation,,,,,,,,,
1372,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2357.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1377,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2363.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1378,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2364.133333333334,TurbineInstallation,,,,,,,,,
1379,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2365.133333333334,TurbineInstallation,,,,,,,,,
