,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
2643,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,3793.466666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2644,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,3797.466666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2647,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,3801.466666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2650,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3802.966666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2651,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3804.466666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2652,,WTIV,Delay,1.0,16666.666666666668,ACTION,3805.466666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2653,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3806.966666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2654,,WTIV,Transit,12.0,200000.0,ACTION,3818.966666666669,TurbineInstallation,,,,,,,,
2655,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,3820.966666666669,TurbineInstallation,,,,,,,,
2656,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,3821.4000000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2657,,WTIV,Delay,37.0,616666.6666666667,ACTION,3858.4000000000024,TurbineInstallation,,,,,,,,
2658,,WTIV,Release Tower Section,3.0,50000.0,ACTION,3861.4000000000024,TurbineInstallation,,,,,,,,
2659,,WTIV,Delay,1.0,16666.666666666668,ACTION,3862.4000000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2660,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,3863.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2663,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,3869.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2664,,WTIV,Release Tower Section,3.0,50000.0,ACTION,3872.1500000000024,TurbineInstallation,,,,,,,,
2666,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,3873.6500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2668,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,3879.6500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2670,,WTIV,Release Nacelle,3.0,50000.0,ACTION,3882.6500000000024,TurbineInstallation,,,,,,,,
2671,,WTIV,Reequip,1.0,16666.666666666668,ACTION,3883.6500000000024,TurbineInstallation,,,,,,,,
2672,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,3885.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2673,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,3891.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2674,,WTIV,Reequip,1.0,16666.666666666668,ACTION,3892.1500000000024,TurbineInstallation,,,,,,,,
2675,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3893.1500000000024,TurbineInstallation,,,,,,,,
2676,,WTIV,Lift Blade,1.5,25000.0,ACTION,3894.6500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2677,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3898.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2678,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3899.1500000000024,TurbineInstallation,,,,,,,,
2679,,WTIV,Lift Blade,1.5,25000.0,ACTION,3900.6500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2680,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3904.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2681,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3905.1500000000024,TurbineInstallation,,,,,,,,
2682,,WTIV,Lift Blade,1.5,25000.0,ACTION,3906.6500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2683,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3910.1500000000024,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2684,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,3910.5833333333358,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2685,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,3912.5833333333358,TurbineInstallation,,,,,,,,
2686,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,3913.016666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2687,,WTIV,Release Tower Section,3.0,50000.0,ACTION,3916.016666666669,TurbineInstallation,,,,,,,,
2688,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,3916.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2689,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,3922.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2690,,WTIV,Release Tower Section,3.0,50000.0,ACTION,3925.766666666669,TurbineInstallation,,,,,,,,
2691,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,3927.266666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2692,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,3933.266666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2693,,WTIV,Release Nacelle,3.0,50000.0,ACTION,3936.266666666669,TurbineInstallation,,,,,,,,
2694,,WTIV,Reequip,1.0,16666.666666666668,ACTION,3937.266666666669,TurbineInstallation,,,,,,,,
2695,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,3938.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2696,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,3944.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2697,,WTIV,Reequip,1.0,16666.666666666668,ACTION,3945.766666666669,TurbineInstallation,,,,,,,,
2698,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3946.766666666669,TurbineInstallation,,,,,,,,
