,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2294,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3705.4285714285697,GravityBasedInstallation,,,,,,,,,
2295,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3706.4285714285697,GravityBasedInstallation,,,,,,,,,
2303,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3718.4285714285697,GravityBasedInstallation,,,,,,,,,
2307,,Multi-Purpose AHTS Vessel,Delay,12.0,53593.5,ACTION,3730.4285714285697,GravityBasedInstallation,,,,,,,,,
2310,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,3731.4285714285697,GravityBasedInstallation,,,,,,,,,
2313,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,3732.4285714285697,GravityBasedInstallation,,,,,,,,,
2315,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,3733.4285714285697,GravityBasedInstallation,,,,,,,,,
2321,,Multi-Purpose AHTS Vessel,Delay,18.0,80390.25,ACTION,3751.4285714285697,GravityBasedInstallation,,,,,,,,,
2323,,Multi-Purpose AHTS Vessel,Grout GBF,2.0,8932.25,ACTION,3753.4285714285697,GravityBasedInstallation,,,,,,,,,
2329,,Multi-Purpose AHTS Vessel,Delay,4.0,17864.5,ACTION,3757.4285714285697,GravityBasedInstallation,,,,,,,,,
2331,,Multi-Purpose AHTS Vessel,Grout GBF,2.0,8932.25,ACTION,3759.4285714285697,GravityBasedInstallation,,,,,,,,,
2332,,Towing Group 1,Positioning Support,89.0,139121.83333333334,ACTION,3759.4285714285697,GravityBasedInstallation,,,,1.0,,site,,,
2335,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,3767.999999999998,GravityBasedInstallation,,,,3.0,0.0,,,,
2344,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3787.999999999998,GravityBasedInstallation,,,,3.0,0.0,,,,
2345,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.57142857142844,127603.57142857085,ACTION,3787.999999999998,GravityBasedInstallation,,,,,,Site,,,
2347,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3792.999999999998,GravityBasedInstallation,,,,,,,,,
2350,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3793.999999999998,GravityBasedInstallation,,,,,,,,,
2370,,Multi-Purpose AHTS Vessel,Delay,74.0,330493.25,ACTION,3867.999999999998,GravityBasedInstallation,,,,,,,,,
2378,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3879.999999999998,GravityBasedInstallation,,,,,,,,,
2382,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,3885.999999999998,GravityBasedInstallation,,,,,,,,,
2383,,Towing Group 1,Positioning Support,98.0,153190.33333333334,ACTION,3885.999999999998,GravityBasedInstallation,,,,1.0,,site,,,
2387,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,3894.5714285714266,GravityBasedInstallation,,,,3.0,0.0,,,,
2399,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3914.5714285714266,GravityBasedInstallation,,,,3.0,0.0,,,,
2400,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.57142857142844,127603.57142857085,ACTION,3914.5714285714266,GravityBasedInstallation,,,,,,Site,,,
2403,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3919.5714285714266,GravityBasedInstallation,,,,,,,,,
2404,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3920.5714285714266,GravityBasedInstallation,,,,,,,,,
2408,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3932.5714285714266,GravityBasedInstallation,,,,,,,,,
2412,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,3938.5714285714266,GravityBasedInstallation,,,,,,,,,
2413,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,3938.5714285714266,GravityBasedInstallation,,,,1.0,,site,,,
2418,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,3947.142857142855,GravityBasedInstallation,,,,3.0,0.0,,,,
2419,,Multi-Purpose AHTS Vessel,Transit,8.571428571428571,38281.07142857143,ACTION,3947.142857142855,GravityBasedInstallation,,,,,,,,,
