,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
517,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,1574.0,GravityBasedInstallation,,,,,,,,
518,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,1582.0,GravityBasedInstallation,,,,,,,,
519,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1594.0,GravityBasedInstallation,,,,,,,3.0,0.0
520,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,1594.0,GravityBasedInstallation,,,,,,,,
521,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,327.5,1462655.9375,ACTION,1594.0,GravityBasedInstallation,,Site,,,,,,
522,,Turbine Assembly Line 1,Delay,7.0,0.0,ACTION,1601.0,GravityBasedInstallation,,,,,,,,
523,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,1605.0,GravityBasedInstallation,,,,,,,,
524,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,1609.0,GravityBasedInstallation,,,,,,,,
525,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,1621.0,GravityBasedInstallation,,,,,,,,
526,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,1624.5,GravityBasedInstallation,,,,,,,,
527,,Turbine Assembly Line 1,Delay,45.0,0.0,ACTION,1669.5,GravityBasedInstallation,,,,,,,,
530,,Multi-Purpose AHTS Vessel,Delay,79.0,352823.875,ACTION,1673.0,GravityBasedInstallation,,,,,,,,
