,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
2130,,Turbine Assembly Line 1,Delay,15.0,0.0,ACTION,9746.0,GravityBasedInstallation,,,,,,,,
2131,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,9818.0,GravityBasedInstallation,,,,,,,,
2132,,Towing Group 1,Delay: No Completed Assemblies Available,108.92857142857065,510820.5357142821,ACTION,9818.0,GravityBasedInstallation,,,,,,,3.0,
2133,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,9838.0,GravityBasedInstallation,,,,,,,3.0,0.0
2134,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,137.5,614092.1875,ACTION,9838.0,GravityBasedInstallation,,Site,,,,,,
2135,,Multi-Purpose AHTS Vessel,Delay,1158.0,5171772.75,ACTION,10996.0,GravityBasedInstallation,,,,,,,,
2136,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,11001.0,GravityBasedInstallation,,,,,,,,
2137,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,11002.0,GravityBasedInstallation,,,,,,,,
2138,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,11014.0,GravityBasedInstallation,,,,,,,,
2139,,Multi-Purpose AHTS Vessel,Grout GBF,3.0,13398.375,ACTION,11017.0,GravityBasedInstallation,,,,,,,,
2140,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,11018.0,GravityBasedInstallation,,,,,,,,
2141,,Multi-Purpose AHTS Vessel,Grout GBF,3.0,13398.375,ACTION,11021.0,GravityBasedInstallation,,,,,,,,
2142,,Towing Group 1,Positioning Support,1183.0,1849226.1666666667,ACTION,11021.0,GravityBasedInstallation,,site,,,,,1.0,
2143,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,11029.57142857143,GravityBasedInstallation,,,,,,,3.0,0.0
2144,,Multi-Purpose AHTS Vessel,Transit,8.571428571428571,38281.07142857143,ACTION,11029.57142857143,GravityBasedInstallation,,,,,,,,
