,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2996,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,5183.900000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2997,,WTIV,Release Nacelle,3.0,50000.0,ACTION,5186.900000000004,TurbineInstallation,,,,,,,,,
2998,,WTIV,Reequip,1.0,16666.666666666668,ACTION,5187.900000000004,TurbineInstallation,,,,,,,,,
2999,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,5189.400000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3000,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,5195.400000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3001,,WTIV,Reequip,1.0,16666.666666666668,ACTION,5196.400000000004,TurbineInstallation,,,,,,,,,
3002,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,5197.400000000004,TurbineInstallation,,,,,,,,,
3003,,WTIV,Lift Blade,1.5,25000.0,ACTION,5198.900000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3005,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,5202.400000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3007,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,5203.400000000004,TurbineInstallation,,,,,,,,,
3008,,WTIV,Lift Blade,1.5,25000.0,ACTION,5204.900000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3010,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,5208.400000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
3011,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,5209.400000000004,TurbineInstallation,,,,,,,,,
3012,,WTIV,Lift Blade,1.5,25000.0,ACTION,5210.900000000004,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
